x,fx
-3.0,1.03379229100579436301035956503873e-106
-2.999299929992999,1.10141220501452543559388076216469e-106
-2.9985998599859984,1.17345463111068328635551308214985e-106
-2.997899789978998,1.25020878119662306439272382711483e-106
-2.9971997199719973,1.33198277822460353866779080623459e-106
-2.9964996499649965,1.41910489261969015082643716500628e-106
-2.9957995799579957,1.51192485953239583404773717948548e-106
-2.995099509950995,1.61081528220429928467926845250314e-106
-2.9943994399439946,1.71617312707558713907192889035741e-106
-2.993699369936994,1.82842131663141914066022593785029e-106
-2.992999299929993,1.94801042637539426091730576405859e-106
-2.9922992299229922,2.07542049273665245484657698818175e-106
-2.9915991599159915,2.21116293916201263330380003496510e-106
-2.990899089908991,2.35578262811736105687535785896640e-106
-2.9901990199019903,2.50986004722884303366592648613516e-106
-2.9894989498949895,2.67401363833093093170687994910705e-106
-2.9887988798879888,2.84890227876273121400621030001237e-106
-2.988098809880988,3.03522792486351812732476625738789e-106
-2.987398739873987,3.23373842826874720565768731026999e-106
-2.986698669866987,3.44523053630092742124288930132005e-106
-2.985998599859986,3.67055308848990126749229011581167e-106
-2.9852985298529853,3.91061042203635321875207674411812e-106
-2.9845984598459845,4.16636599988202246868989641019205e-106
-2.9838983898389837,4.43884627593003117269211502523730e-106
-2.9831983198319834,4.72914481291817135456225421933741e-106
-2.9824982498249826,5.03842666945818174442049508305753e-106
-2.981798179817982,5.36793307383005043807221761884538e-106
-2.981098109810981,5.71898640327778460235883091275552e-106
-2.98039803980398,6.09299548876805578153213854857795e-106
-2.97969796979698,6.49146126648641810040037289176880e-106
-2.978997899789979,6.91598279873328281197664912409983e-106
-2.9782978297829783,7.36826368835397518742900122942381e-106
-2.9775977597759775,7.85011891243487476241236277299432e-106
-2.9768976897689767,8.36348210265543867716429455015753e-106
-2.9761976197619764,8.91041330149259534370867935048046e-106
-2.9754975497549756,9.49310722537634444062003195055912e-106
-2.974797479747975,1.01139020679216823730664058604555e-105
-2.974097409740974,1.07752888785415457496056164720801e-105
-2.9733973397339732,1.14799215540332033970514614287811e-105
-2.972697269726973,1.22306274832052935651509166415924e-105
-2.971997199719972,1.30304188872196923569667380147504e-105
-2.9712971297129713,1.38825049011062406756233423693383e-105
-2.9705970597059705,1.47903044449024264036556171391901e-105
-2.9698969896989698,1.57574599360033890165634724037161e-105
-2.9691969196919694,1.67878518977051091243698189420203e-105
-2.9684968496849686,1.78856145225035908137064853731666e-105
-2.967796779677968,1.90551522525362580249862842213928e-105
-2.967096709670967,2.03011574436461001046620104118760e-105
-2.9663966396639663,2.16286291838648165717863517420376e-105
-2.9656965696569655,2.30428933417699502634803661980870e-105
-2.964996499649965,2.45496239250673791683713657216251e-105
-2.9642964296429644,2.61548658350323651381512962552219e-105
-2.9635963596359636,2.78650591080098526456303226232115e-105
-2.962896289628963,2.96870647411534634328120563572212e-105
-2.962196219621962,3.16281922059279475201989267357421e-105
-2.9614961496149617,3.36962287596446802829620021674078e-105
-2.960796079607961,3.58994706725508859029229300848310e-105
-2.96009600960096,3.82467564956011058036685530100897e-105
-2.9593959395939593,4.07475025022878984307327696669350e-105
-2.9586958695869585,4.34117404465823366595900788492749e-105
-2.957995799579958,4.62501577883076864323738616759603e-105
-2.9572957295729574,4.92741405471968644506017712613168e-105
-2.9565956595659566,5.24958189573710991571913106808364e-105
-2.955895589558956,5.59281161052345228298281461184190e-105
-2.955195519551955,5.95847997457271687485493159863167e-105
-2.9544954495449547,6.34805375045787801085838040851452e-105
-2.953795379537954,6.76309556878590141751649127876136e-105
-2.953095309530953,7.20527019344443598166827407198922e-105
-2.9523952395239523,7.67635119625531180298943414986108e-105
-2.9516951695169515,8.17822806778310947946946736134837e-105
-2.950995099509951,8.71291379279301999989873152308020e-105
-2.9502950295029504,9.28255292072137968704914959540245e-105
-2.9495949594959496,9.88943016349678064443321544173558e-105
-2.948894889488949,1.05359795551692410650992809819185e-104
-2.948194819481948,1.12247942100544896354945650129163e-104
-2.9474947494749477,1.19586367184915997840226221755088e-104
-2.946794679467947,1.27404502218828702506855172777405e-104
-2.946094609460946,1.35733702113819204280472898467511e-104
-2.9453945394539454,1.44607370975200441365718493013151e-104
-2.9446944694469446,1.54061096011366212247815811263067e-104
-2.943994399439944,1.64132790192641037001071310633339e-104
-2.9432943294329434,1.74862844231407534921792781155843e-104
-2.9425942594259427,1.86294288492403466538212363176824e-104
-2.941894189418942,1.98472965481976619823264561515132e-104
-2.941194119411941,2.11447713607433867402900626956636e-104
-2.9404940494049403,2.25270562942714554407486039374928e-104
-2.93979397939794,2.39996943784844051165885539208388e-104
-2.939093909390939,2.55685908836722899891920483631704e-104
-2.9383938393839384,2.72400369906355826217284966118322e-104
-2.9376937693769376,2.90207350071116494395430646262753e-104
-2.936993699369937,3.09178252317027287115371142709169e-104
-2.9362936293629365,3.29389145729579830237455996112927e-104
-2.9355935593559357,3.50921070382541884547337670770419e-104
-2.934893489348935,3.73860362146232549224108929138255e-104
-2.934193419341934,3.98298998716642213406194356650490e-104
-2.9334933493349333,4.24334968251461613261986560565876e-104
-2.932793279327933,4.52072662090043629573688490203643e-104
-2.932093209320932,4.81623293130440397763932738214945e-104
-2.9313931393139314,5.13105341539377844344363814599372e-104
-2.9306930693069306,5.46645029581145131666110840877732e-104
-2.92999299929993,5.82376827466937676206445506109489e-104
-2.9292929292929295,6.20443992251474086324871009000511e-104
-2.9285928592859287,6.60999141935338513428102016792255e-104
-2.927892789278928,7.04204867072763102080638378032012e-104
-2.927192719271927,7.50234382334973665259741020342454e-104
-2.9264926492649264,7.99272220638645874220274831245018e-104
-2.9257925792579256,8.51514972620345481496286662147712e-104
-2.9250925092509252,9.07172074418310343798107169180542e-104
-2.9243924392439244,9.66466646917705590366477314263565e-104
-2.9236923692369237,1.02963638982008109043036455067929e-103
